zone_id,zone_name,lat,lon,lst_celsius,ndvi,ndbi,albedo,population,area_sqkm,air_temp_celsius,relative_humidity,wind_speed_mps
Z01,Connaught Place,28.6315,77.2167,52.4,0.08,0.61,0.11,18500,2.6,45.1,13.6,2.7
Z02,Chandni Chowk,28.6506,77.2303,54.8,0.05,0.68,0.09,92000,1.8,45.8,11.2,2.5
Z03,Karol Bagh,28.6519,77.1909,51.9,0.09,0.59,0.12,68000,3.1,44.9,14.1,2.8
Z04,Lutyens Delhi,28.6139,77.209,41.2,0.52,0.21,0.24,4200,12.4,40.8,30.5,3.7
Z05,Lodhi Gardens Belt,28.5933,77.2197,38.6,0.61,0.15,0.27,1100,2.9,39.9,34.2,3.8
Z06,Dwarka Sector 21,28.552,77.0589,46.3,0.24,0.44,0.17,45000,8.2,43.0,21.2,3.1
Z07,Rohini,28.734,77.0926,49.7,0.16,0.53,0.14,210000,11.5,44.1,17.1,2.9
Z08,Pitampura,28.6993,77.1313,48.9,0.18,0.5,0.15,95000,6.7,43.9,18.1,3.0
Z09,Vasant Kunj,28.5244,77.1588,43.1,0.38,0.31,0.21,82000,9.4,41.8,26.3,3.4
Z10,Saket,28.5244,77.2066,44.6,0.33,0.36,0.19,71000,5.8,42.3,24.2,3.3
Z11,Noida Sector 62,28.628,77.3649,50.5,0.14,0.56,0.13,58000,4.3,44.4,16.1,2.8
Z12,Noida Sector 18,28.5697,77.326,53.2,0.07,0.64,0.1,34000,2.1,45.3,12.8,2.6
Z13,Gurugram Cyber City,28.4946,77.088,51.8,0.1,0.58,0.12,28000,2.8,44.8,14.4,2.8
Z14,Gurugram Sector 56,28.4216,77.0966,47.4,0.22,0.45,0.16,49000,6.1,43.4,20.0,3.1
Z15,Faridabad Old City,28.4089,77.3178,53.6,0.06,0.65,0.1,118000,3.4,45.4,12.3,2.6
Z16,Ghaziabad Vaishali,28.6469,77.3389,52.0,0.09,0.6,0.12,87000,4.9,44.9,14.1,2.7
Z17,Yamuna Floodplain East,28.668,77.282,39.4,0.58,0.18,0.25,15200,7.6,40.2,33.0,3.8
Z18,Najafgarh Drain Belt,28.602,77.029,40.1,0.55,0.2,0.24,22000,9.1,40.4,31.9,3.7
Z19,Dwarka Sector 10,28.582,77.042,45.2,0.28,0.4,0.18,61000,5.5,42.6,22.8,3.2
Z20,Mayur Vihar,28.609,77.292,50.1,0.15,0.54,0.14,103000,4.0,44.3,16.6,2.9
Z21,Janakpuri,28.6219,77.0878,48.2,0.19,0.49,0.15,94000,5.2,43.7,18.8,3.0
Z22,Greater Kailash,28.5494,77.2425,46.0,0.26,0.39,0.18,55000,4.4,42.9,21.8,3.2
Z23,Aerocity,28.5483,77.1209,49.0,0.13,0.55,0.13,9800,3.0,44.1,17.0,2.9
Z24,Indirapuram,28.6463,77.3725,47.8,0.21,0.46,0.16,76000,5.0,43.5,19.5,3.1
Z25,Okhla Industrial Area,28.5355,77.273,55.1,0.04,0.7,0.09,31000,3.9,45.9,10.8,2.5
