zone_id,zone_name,lat,lon,lst_celsius,ndvi,ndbi,albedo,population,area_sqkm,air_temp_celsius,relative_humidity,wind_speed_mps
HY01,Charminar Old City,17.3616,78.4747,53.6,0.05,0.67,0.1,118000,3.2,42.3,21.0,2.2
HY02,Abids,17.3927,78.4744,51.4,0.08,0.6,0.12,62000,2.4,41.7,23.2,2.3
HY03,HITEC City,17.4483,78.3793,48.7,0.14,0.52,0.15,54000,5.1,40.8,26.4,2.5
HY04,Gachibowli,17.4399,78.3489,46.5,0.18,0.46,0.17,71000,6.8,40.1,28.8,2.6
HY05,Banjara Hills,17.4156,78.4347,44.9,0.22,0.41,0.18,38000,4.5,39.6,30.8,2.7
HY06,Secunderabad,17.4399,78.4983,50.2,0.1,0.57,0.13,96000,4.0,41.3,24.5,2.4
HY07,Kukatpally,17.4849,78.4138,49.5,0.13,0.54,0.14,142000,7.3,41.0,25.6,2.5
HY08,KBR Park Belt,17.418,78.4109,38.9,0.59,0.16,0.27,9500,3.6,36.8,42.6,3.3
HY09,Begumpet,17.444,78.4661,49.0,0.12,0.55,0.14,58000,3.8,41.0,25.8,2.4
HY10,LB Nagar,17.346,78.55,51.9,0.09,0.61,0.11,108000,6.1,41.8,23.0,2.3
HY11,Madhapur,17.4486,78.3915,47.6,0.16,0.49,0.16,67000,4.7,40.5,27.6,2.6
HY12,Uppal,17.4019,78.5598,50.8,0.11,0.58,0.13,89000,5.4,41.4,24.2,2.4
HY13,Shamshabad,17.2403,78.4294,52.7,0.07,0.63,0.11,34000,8.9,42.0,22.1,2.3
HY14,Miyapur,17.4969,78.3654,48.3,0.15,0.5,0.15,76000,5.8,40.7,26.9,2.5
HY15,Osman Sagar Belt,17.334,78.27,37.2,0.62,0.13,0.28,4100,9.2,36.3,44.4,3.3
HY16,Dilsukhnagar,17.3687,78.5247,52.1,0.06,0.65,0.1,124000,3.9,41.9,22.3,2.2
HY17,Jubilee Hills,17.431,78.4072,43.8,0.26,0.37,0.2,45000,5.0,39.2,32.4,2.8
HY18,Tarnaka,17.4253,78.5267,49.8,0.12,0.56,0.13,52000,3.3,41.2,25.2,2.4
