zone_id,zone_name,lat,lon,lst_celsius,ndvi,ndbi,albedo,population,area_sqkm,air_temp_celsius,relative_humidity,wind_speed_mps
KO01,Burrabazar,22.58,88.355,49.6,0.05,0.66,0.1,134000,2.6,38.8,61.0,2.8
KO02,Park Street,22.5535,88.3526,46.2,0.13,0.53,0.15,48000,2.2,37.5,65.7,3.2
KO03,Salt Lake Sector V,22.575,88.431,44.8,0.18,0.45,0.17,76000,5.8,36.9,68.0,3.4
KO04,Howrah,22.5958,88.2636,48.9,0.08,0.61,0.12,156000,3.9,38.5,62.2,2.9
KO05,Tollygunge,22.499,88.354,45.5,0.16,0.49,0.16,98000,4.1,37.2,66.9,3.3
KO06,Dum Dum,22.642,88.42,47.3,0.12,0.55,0.14,118000,4.6,37.9,64.5,3.1
KO07,Maidan Belt,22.547,88.343,38.6,0.52,0.18,0.25,8200,3.0,33.8,80.4,4.1
KO08,New Town Rajarhat,22.579,88.463,43.1,0.24,0.38,0.19,89000,7.5,36.2,70.7,3.5
KO09,Garden Reach,22.547,88.298,47.9,0.1,0.58,0.13,92000,3.4,38.1,63.5,3.0
KO10,Behala,22.492,88.306,46.4,0.15,0.51,0.15,104000,5.2,37.5,65.9,3.2
KO11,Jadavpur,22.499,88.37,44.9,0.19,0.44,0.17,71000,3.8,36.9,68.1,3.4
KO12,Sealdah,22.568,88.37,49.1,0.06,0.64,0.11,128000,2.9,38.6,61.7,2.9
KO13,Botanical Garden Belt,22.557,88.303,36.4,0.61,0.13,0.27,5100,4.2,32.9,84.2,4.2
KO14,Baranagar,22.642,88.37,46.8,0.14,0.52,0.14,87000,3.6,37.7,65.3,3.2
KO15,Tangra,22.539,88.392,48.5,0.09,0.59,0.12,68000,2.8,38.4,62.8,3.0
