zone_id,zone_name,lat,lon,lst_celsius,ndvi,ndbi,albedo,population,area_sqkm,air_temp_celsius,relative_humidity,wind_speed_mps
MU01,Dharavi,19.044,72.857,46.8,0.06,0.66,0.1,86000,2.1,37.3,67.2,3.3
MU02,Dadar,19.0178,72.8478,44.2,0.1,0.58,0.13,71000,3.4,36.4,70.3,3.6
MU03,Bandra Kurla Complex,19.0669,72.8679,43.5,0.12,0.55,0.14,28000,4.6,36.1,71.4,3.7
MU04,Andheri East,19.1136,72.8697,45.1,0.11,0.57,0.13,142000,8.2,36.6,69.7,3.6
MU05,Andheri West,19.1197,72.8468,42.9,0.16,0.49,0.16,118000,7.5,35.8,72.7,3.9
MU06,Borivali,19.2307,72.8567,40.8,0.24,0.4,0.19,165000,9.8,34.9,76.2,4.1
MU07,Sanjay Gandhi National Park Belt,19.2147,72.9106,33.4,0.68,0.1,0.29,5200,18.3,31.1,91.6,5.1
MU08,Worli,18.997,72.817,42.6,0.14,0.52,0.15,64000,3.9,35.8,72.6,3.8
MU09,Lower Parel,18.996,72.826,43.8,0.09,0.6,0.12,49000,2.7,36.3,70.5,3.5
MU10,Powai,19.1176,72.906,39.7,0.31,0.34,0.2,98000,6.5,34.3,78.6,4.3
MU11,Mulund,19.1726,72.956,41.5,0.22,0.43,0.18,121000,7.1,35.1,75.1,4.0
MU12,Kurla,19.0728,72.8826,45.6,0.08,0.62,0.11,178000,4.8,36.9,68.7,3.4
MU13,Chembur,19.0522,72.9006,43.0,0.18,0.46,0.17,112000,6.2,35.7,73.0,4.0
MU14,Navi Mumbai Vashi,19.0759,72.9986,44.4,0.15,0.51,0.15,95000,5.9,36.3,71.1,3.8
MU15,Thane West,19.2183,72.9781,42.1,0.2,0.45,0.18,210000,10.4,35.4,74.2,4.0
MU16,Colaba,18.9067,72.8147,40.2,0.13,0.48,0.17,38000,2.3,35.1,74.5,3.9
MU17,Malad,19.1864,72.8485,43.9,0.13,0.53,0.14,156000,8.0,36.2,71.2,3.7
MU18,Ghatkopar,19.0863,72.9081,44.7,0.1,0.59,0.12,134000,5.3,36.5,69.9,3.5
MU19,Versova Coastal,19.1318,72.8138,38.5,0.27,0.33,0.22,42000,3.1,34.1,78.8,4.4
MU20,Mira Road,19.2952,72.8544,41.9,0.21,0.44,0.18,189000,7.7,35.3,74.6,4.0
