zone_id,zone_name,lat,lon,lst_celsius,ndvi,ndbi,albedo,population,area_sqkm,air_temp_celsius,relative_humidity,wind_speed_mps
PT01,Patna City Old Town,25.6178,85.185,54.2,0.04,0.69,0.09,142000,3.0,43.4,36.8,1.6
PT02,Boring Road,25.6093,85.1238,50.6,0.1,0.58,0.13,68000,2.8,41.9,41.7,1.7
PT03,Kankarbagh,25.5926,85.1622,52.4,0.07,0.63,0.11,118000,4.1,42.6,39.3,1.7
PT04,Bailey Road,25.6234,85.0992,49.8,0.13,0.54,0.14,74000,3.6,41.5,43.2,1.8
PT05,Rajendra Nagar,25.6184,85.1438,51.7,0.08,0.61,0.12,89000,3.2,42.4,40.2,1.7
PT06,Gandhi Maidan Belt,25.6175,85.1414,47.3,0.2,0.45,0.17,21000,2.5,40.4,47.1,1.9
PT07,Patliputra Colony,25.6209,85.1063,48.9,0.16,0.49,0.15,56000,3.0,41.1,44.7,1.9
PT08,Danapur,25.6364,85.0436,50.1,0.14,0.51,0.14,98000,5.4,41.6,43.0,1.9
PT09,Phulwari Sharif,25.5764,85.0833,52.9,0.06,0.64,0.1,87000,4.0,42.8,38.5,1.7
PT10,Digha Riverfront,25.628,85.095,42.6,0.36,0.28,0.22,29000,3.8,38.2,55.2,2.2
PT11,Anisabad,25.58,85.13,51.2,0.09,0.59,0.12,72000,3.3,42.2,40.9,1.7
PT12,Buddha Colony,25.608,85.155,49.4,0.15,0.5,0.15,48000,2.6,41.3,44.0,1.9
PT13,Khagaul,25.5667,85.0667,50.8,0.12,0.55,0.13,64000,4.2,41.9,41.9,1.8
PT14,NIT Patna Belt,25.645,85.109,46.1,0.24,0.39,0.19,15000,2.9,39.9,49.2,2.0
PT15,Mithapur,25.6,85.17,53.5,0.05,0.66,0.1,103000,3.5,43.1,37.7,1.6
